record,doi,filename,size,checksum,url
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_10_3600s.tar.gz,9684790,md5:f7aa05f1dffd24f17a7b4eedf707c7a5,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_10_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_03_600s.tar.gz,20929989,md5:7ba69b2f03634f926ef8c217d1456a3b,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_03_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_03_3600s.tar.gz,5829912,md5:ac17bae3cc1b2b6fb928604eed5cb8fc,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_03_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_04_3600s.tar.gz,5056026,md5:28137ab2b316d71e19c2d3bb001bcde6,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_04_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_11_3600s.tar.gz,8989032,md5:218975bf95458c620048737e9ff52798,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_11_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_12_600s.tar.gz,25793043,md5:c024cb537e4e4d3733c6352ae6f0e05c,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_12_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2024_01_600s.tar.gz,25226413,md5:8e46277e8c25b5f39166888ef9497dc9,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2024_01_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_12_3600s.tar.gz,6948368,md5:574a4d311b723d96d9847006b94f69d8,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_12_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_10_3600s.tar.gz,4939009,md5:aa13643e8c5ba13476977a8d0adc7755,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_10_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_06_600s.tar.gz,12636813,md5:9455486ae5db5d72c5268c736c3a4f45,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_06_600s.tar.gz/content
