core_minus_lead_z,core_minus_lag_z,core_mean_z,lead_mean_z,lag_mean_z,iteration
-0.0776738838054679,-0.06441135354628436,-0.07520636931474318,0.0024675144907247157,-0.010795015768458822,0
0.029748632377496816,0.04051589430396669,0.0042913427344495,-0.025457289643047314,-0.03622455156951719,1
0.06641365689969367,-0.02924334071743186,0.030884812593008227,-0.035528844306685445,0.06012815331044009,2
0.05819393733734003,0.1788873706154139,0.08019992237426772,0.022005985036927685,-0.09868744824114618,3
-0.10148496534198423,-0.03316944038847351,-0.035778334687272734,0.0657066306547115,-0.002608894298799225,4
-0.043926888615427435,0.12060874108788208,0.03596943622139998,0.07989632483682742,-0.0846393048664821,5
-0.01329070478159226,-0.09508913519816206,-0.038932203661898486,-0.025641498880306226,0.05615693153626358,6
-0.0904852682734531,-0.054693830029053106,-0.07446265571140331,0.01602261256204979,-0.019768825682350208,7
0.05727237972007676,0.18621551792045588,0.09250962280952917,0.035237243089452405,-0.09370589511092672,8
-0.045954648916281,0.00027775902414819455,-0.011402019996208131,0.034552628920072874,-0.011679779020356326,9
-0.09725841965573463,-0.1395603042253018,-0.055103519770759946,0.042154899884974686,0.08445678445454186,10
0.07041965426996637,0.12117251958255061,-0.024013961443403852,-0.09443361571337022,-0.14518648102595447,11
-0.2266707324044968,-0.08402688596681403,-0.07245138656911847,0.15421934583537836,0.011575499397695555,12
0.04518229552060481,0.14381227705462346,0.06394287001646355,0.01876057449585874,-0.0798694070381599,13
0.031068916742494027,-0.019613372110979743,0.0013273057305649427,-0.029741611011929084,0.020940677841544686,14
0.06136478885196859,0.04370282897221482,0.06126395462155707,-0.00010083423041151729,0.017561125649342247,15
-0.009065112471236465,-0.04953542313513591,-0.021957694074255817,-0.012892581603019352,0.027577729060880095,16
-0.005024732093005926,0.15389809553153655,0.06149252045950328,0.0665172525525092,-0.09240557507203327,17
-0.13366225006738955,-0.23008691754777771,-0.07143842486057929,0.06222382520681025,0.15864849268719844,18
0.0011734751170958402,-0.11877615148212532,-0.07336725807452806,-0.0745407331916239,0.04540889340759727,19
0.022159432363522635,0.2846436265174249,0.1490577786682956,0.12689834630477295,-0.13558584784912933,20
0.09346508544463325,0.11617623260380472,0.09701657284375212,0.0035514873991188745,-0.0191596597600526,21
0.08945044425023402,0.02472867325595989,0.04260960529577055,-0.046840838954463476,0.01788093203981066,22
-0.0545457322689796,0.1397825034004539,0.07117689716243081,0.1257226294314104,-0.0686056062380231,23
0.08472499794607376,0.00595449137908407,-0.0019475383543287098,-0.08667253630040246,-0.00790202973341278,24
-0.1258038474643795,-0.09924079977878984,-0.04187020884007063,0.08393363862430887,0.05737059093871921,25
-0.15038824370919282,0.0784057693916123,0.041452460195837044,0.19184070390502986,-0.036953309195775254,26
-0.16379190412974395,-0.14618562568918608,-0.14062362031937709,0.023168283810366865,0.005562005369808984,27
0.11868294092244727,0.06898902639662498,0.07941047463130461,-0.03927246629114265,0.010421448234679637,28
-0.049199420504804664,-0.14465811441411347,0.009651504306786986,0.058850924811591654,0.15430961872090046,29
0.006020705433879094,-0.012362274016677454,-0.038118259347193366,-0.04413896478107246,-0.025755985330515912,30
-0.11157186121361276,-0.20837826056862072,-0.12076211300538499,-0.009190251791772231,0.08761614756323573,31
-0.005827521665476516,0.04733629180963145,-0.046346471675446796,-0.04051895000997028,-0.09368276348507824,32
0.05655640895228429,0.05962420086173354,-0.04283073881808946,-0.09938714777037375,-0.102454939679823,33
-0.002700554608215472,0.016101111787264907,0.13940058220048732,0.1421011368087028,0.12329947041322241,34
-0.009120121120902616,0.06852009851318192,-0.04096956594072738,-0.03184944481982476,-0.10948966445390929,35
-0.07280609175669528,0.01886109213388803,-0.05920829040693274,0.013597801349762543,-0.07806938254082077,36
-0.013684094036352526,-0.10286023985198534,-0.09557931664121236,-0.08189522260485983,0.007280923210772971,37
-0.045618038188119645,0.0285891792102545,-0.04371982558257499,0.0018982126055446544,-0.07230900479282949,38
0.09779813450524166,0.03442155729105863,-0.0007327858232329191,-0.09853092032847459,-0.035154343114291546,39
-0.05629834658584246,0.04897865511541065,0.015898590347399558,0.07219693693324201,-0.03308006476801109,40
0.01723338793643303,0.09972726868174545,0.03899595559631106,0.02176256765987803,-0.06073131308543439,41
-0.035655200932373135,-0.08505373255403226,-0.056131947819337925,-0.02047674688696479,0.02892178473469433,42
-0.08530312953496867,-0.015529744575355593,-0.001965154197052532,0.08333797533791613,0.01356459037830306,43
-0.17459465784861844,0.030514725518787797,-0.10156516768380046,0.07302949016481798,-0.13207989320258826,44
0.14537203203632446,0.12712076014552134,0.0888703946433492,-0.05650163739297525,-0.03825036550217214,45
0.039511861175964655,0.013210219279920409,0.04759702325854293,0.008085162082578276,0.034386803978622524,46
0.058135058028032496,0.06345758487137793,0.056290977887146446,-0.0018440801408860538,-0.007166606984231478,47
-0.017198746483429048,-0.07056072282576045,-0.04231072996869366,-0.02511198348526461,0.028249992857066798,48
0.009110692672948752,-0.012450666439489996,-0.004634265077748765,-0.013744957750697518,0.00781640136174123,49
-0.0534318514795461,-0.07024647772445602,-0.04654263798721022,0.006889213492335878,0.023703839737245797,50
-0.0899168330037945,0.10583738975473342,-0.03740051409189623,0.05251631891189827,-0.14323790384662966,51
0.026426308665058462,0.1198748425136865,0.09646572493401906,0.0700394162689606,-0.023409117579667446,52
-0.08408657005133269,0.042537288340718835,0.020366856479595453,0.10445342653092814,-0.022170431861123382,53
0.06394908448162301,0.14044206388680772,0.048883938408201585,-0.015065146073421428,-0.09155812547860613,54
-0.03736873464109085,0.04641239011167457,-0.006233360089135557,0.03113537455195529,-0.05264575020081013,55
0.028872870413664316,-0.07117210351410663,0.058252948917255916,0.0293800785035916,0.12942505243136254,56
-0.004853043498492866,0.022457645654788805,-0.06347561357317195,-0.05862257007467909,-0.08593325922796076,57
-0.1031774601117911,0.02214046568167774,-0.003684137327145517,0.09949332278464558,-0.025824603008823256,58
0.03867242216836017,0.007920457352727409,-0.017382409559650418,-0.05605483172801059,-0.025302866912377826,59
-0.037202387784502015,0.00339215992756179,-0.0497726975210008,-0.012570309736498786,-0.05316485744856259,60
-0.1495187760311903,0.046869956230716325,-0.07169612150980419,0.0778226545213861,-0.11856607774052051,61
-0.011044937135335138,-0.0980611722495069,0.009820098424097883,0.02086503555943302,0.10788127067360478,62
-0.009806011588093605,-0.058688250901005906,-0.04902274667714153,-0.039216735089047924,0.00966550422386438,63
-0.12033876305371365,-0.10864892261086537,-0.07730299955163553,0.04303576350207812,0.03134592305922984,64
0.00016946118308142077,0.08464649586349632,0.02611517740383064,0.025945716220749218,-0.05853131845966568,65
0.05925640294602883,0.0334815367972567,0.007116225254728854,-0.05214017769129998,-0.026365311542527844,66
0.08202773326395574,0.08402390591463789,0.07507578858473016,-0.006951944679225575,-0.008948117329907737,67
0.11558935330419849,0.10677344113305134,0.10665306312617105,-0.008936290178027434,-0.0001203780068802979,68
-0.06736727310403672,0.07274241907163144,-0.039194222953906274,0.02817305015013044,-0.11193664202553771,69
-0.12043984639956859,-0.005235504511911758,-0.051885490007296836,0.06855435639227175,-0.04664998549538508,70
0.010680821684826869,0.3323955339559783,0.15856168681207783,0.14788086512725096,-0.17383384714390052,71
-0.05473921756194172,0.0037963377319357172,-0.056200574004583795,-0.001461356442642075,-0.05999691173651951,72
-0.027684601533156737,-0.06988025703440287,-0.02706281373190033,0.0006217878012564074,0.042817443302502534,73
0.06271970070394121,0.03181066402439692,0.017357304909287337,-0.04536239579465388,-0.014453359115109579,74
-0.047086075486876135,-0.11685047948170979,-0.04337860307615399,0.003707472410722148,0.0734718764055558,75
-0.014839785141053476,-0.0708423317596437,-0.0364859262829163,-0.021646141141862828,0.0343564054767274,76
0.04174868374016188,0.07012690090195103,0.029659149501232294,-0.012089534238929585,-0.04046775140071874,77
-0.03729215628606288,-0.013079565836200641,-0.0015158921583134542,0.035776264127749424,0.011563673677887187,78
-0.010192583287078366,-0.05730356326540302,0.07378754816253895,0.08398013144961732,0.13109111142794197,79
-0.004151986341698284,-0.10434934984881586,-0.04082187583823626,-0.036669889496537975,0.06352747401057961,80
0.13432014499738287,0.11033990512348688,0.06041636720455612,-0.07390377779282677,-0.049923537918930755,81
0.17469745917568244,0.165292645026104,0.15091049182218455,-0.023786967353497883,-0.014382153203919433,82
-0.12101047830954936,-0.07889979417385029,-0.07295011388902298,0.04806036442052638,0.005949680284827316,83
-0.06454998429054676,0.09853079936007723,0.049676250439230206,0.11422623472977697,-0.04885454892084703,84
0.09862107606722674,0.06643348662343349,0.03322103895650329,-0.06540003711072345,-0.033212447666930205,85
0.19230643618356402,0.1385748643475181,0.14465087310871866,-0.04765556307484538,0.006076008761200572,86
0.1797964593498666,0.1280654645570609,0.06553304162495623,-0.11426341772491039,-0.06253242293210466,87
-0.1217409765146644,-0.08960636046731084,-0.08262016990807011,0.039120806606594276,0.006986190559240728,88
0.04183806007911911,-0.007168194918301955,0.020099973417335378,-0.021738086661783732,0.027268168335637333,89
-0.03501538307498872,0.018199621492590072,-0.004413052785079215,0.030602330289909507,-0.022612674277669286,90
0.06916091395642994,0.0013503831992566773,0.09897488118558809,0.02981396722915815,0.09762449798633141,91
-0.019869636331011263,0.01608588839263856,0.054929100399492746,0.07479873673050401,0.038843212006854186,92
0.02464201553036873,0.20987447486625863,0.06783747299454843,0.043195457464179694,-0.1420370018717102,93
-0.19037423657774818,-0.1242759559583104,-0.17082289134183334,0.019551345235914848,-0.04654693538352294,94
-0.1651835731856009,-0.07200077587782427,-0.0830268992323882,0.08215667395321272,-0.011026123354563919,95
-0.016578377069566934,0.037654484085937794,-0.04526950060956327,-0.028691123539996338,-0.08292398469550107,96
-0.10970523238857638,0.0036084208443760077,-0.04605131028858986,0.06365392209998652,-0.049659731132965866,97
-0.021746035144600964,0.040593844808023055,0.003524232908560211,0.025270268053161175,-0.03706961189946285,98
-0.12353971764572812,-0.0952730247001539,-0.08647885965582709,0.037060857989901025,0.008794165044326811,99
-0.059315346407352254,0.09742130621061915,-0.017752798711286495,0.04156254769606576,-0.11517410492190563,100
-0.06143864473996812,-0.08650279214546854,-0.09506998143296867,-0.03363133669300055,-0.008567189287500141,101
-0.02560734907766281,0.09161042889364507,-0.038940406399457984,-0.013333057321795173,-0.13055083529310305,102
0.16420662561457908,0.09776441661359726,0.1366590262993608,-0.027547599315218274,0.03889460968576354,103
0.10956624631457612,0.005573816519632235,0.07056765707923805,-0.03899858923533806,0.06499384055960582,104
-0.05751495435834103,-0.11712875904764085,-0.09801748204618117,-0.04050252768784014,0.01911127700145968,105
-0.03304260383263634,-0.023641597063601073,-0.016665169134882675,0.016377434697753667,0.006976427928718398,106
-0.055492512145911596,-0.057512341628376706,-0.0429341964405926,0.012558315705318998,0.014578145187784108,107
0.011961753282424499,-0.05895014509383784,-0.04897547190425341,-0.06093722518667791,0.009974673189584437,108
0.033131478825163166,0.06533261692569438,0.004270426740114984,-0.028861052085048182,-0.061062190185579394,109
-0.036490720207720324,0.08786382141168038,0.02347894359887459,0.059969663806594915,-0.06438487781280579,110
-0.047520223614765114,0.02524607421405874,-0.008414261522944489,0.03910596209182063,-0.03366033573700323,111
0.022496367190863155,-0.05161436832307509,-0.021503672853377412,-0.04400004004424057,0.03011069546969768,112
0.0018544912912036964,0.03359724459366997,-0.02661389178772435,-0.028468383078928048,-0.060211136381394324,113
0.0739285867166453,0.12191294223573837,0.08508988671722802,0.011161300000582708,-0.03682305551851035,114
-0.059211018129067275,-0.0010455324007827282,-0.07493304356366913,-0.01572202543460185,-0.0738875111628864,115
-0.15332097662415783,-0.041432207993217465,-0.08783604083335309,0.06548493579080475,-0.04640383284013562,116
-0.08629330244330871,0.003254949872351592,0.016367384589848703,0.10266068703315742,0.013112434717497111,117
0.019135570671535526,0.025366609984270927,0.005075155691294903,-0.014060414980240623,-0.020291454292976026,118
0.027553967661398494,-0.09963955985380822,0.027340138367849914,-0.00021382929354857904,0.12697969822165814,119
0.012452599594669232,0.028810340320613165,-0.033312647634648036,-0.04576524722931727,-0.0621229879552612,120
-0.054346182053144586,-0.020878113746078838,0.007181695519125464,0.06152787757227005,0.0280598092652043,121
-0.18264864800679448,-0.03101593060497275,-0.01898394838025397,0.1636646996265405,0.012031982224718778,122
0.11983132365642625,0.1812538068103199,0.08033805320527367,-0.039493270451152584,-0.10091575360504625,123
-0.05648464723126526,0.028413800724593388,-0.0526519483253243,0.003832698905940965,-0.08106574904991769,124
-0.08312875494356556,-0.09549383411751503,-0.08417711742552789,-0.0010483624819623333,0.011316716691987133,125
-0.04602732827570851,0.010696051871965505,-0.04332508674401529,0.0027022415316932174,-0.0540211386159808,126
0.06362455269568051,0.008205097674307799,0.05387693421114925,-0.009747618484531265,0.045671836536841454,127
-0.040449617893397655,-0.006651099616483981,0.010635794366579564,0.05108541225997722,0.017286893983063545,128
-0.06781646490742765,-0.1320297982169028,-0.03153394542835845,0.03628251947906921,0.10049585278854435,129
-0.06180516739560934,-0.07350487948732848,-0.05920618438394898,0.0025989830116603615,0.014298695103379505,130
-0.00914710071845741,0.004833633724792362,-0.014140502383249855,-0.004993401664792444,-0.018974136108042217,131
-0.23608344007413207,-0.12150996541741796,-0.13137142320171843,0.10471201687241363,-0.009861457784300478,132
0.02692000304432813,0.05394650887827434,0.01653099405931422,-0.01038900898501391,-0.03741551481896012,133
-0.024581021989828082,0.0462215743497121,0.0390953283541905,0.06367635034401858,-0.007126245995521597,134
0.13096270521497397,-0.017918244418519767,0.0477204471961527,-0.08324225801882128,0.06563869161467246,135
0.022429529829196583,0.13209019636839392,-0.039276595934410886,-0.06170612576360747,-0.1713667923028048,136
-0.029541822386574837,0.05100842627118822,0.07626734134099926,0.1058091637275741,0.025258915069811042,137
-0.04067511321514695,-0.013731204172285124,-0.044046902778354616,-0.003371789563207667,-0.030315698606069492,138
0.0505916999976159,-0.09798048783799526,-0.020975950641031065,-0.07156765063864697,0.07700453719696419,139
-0.02307501655698449,-0.03422947773122689,0.0017742092012232563,0.024849225758207746,0.03600368693245015,140
-0.05296632158520581,0.10489877411540843,0.01835072054249798,0.07131704212770379,-0.08654805357291045,141
0.13342929673563428,0.12047287233488407,0.13145698858702673,-0.001972308148607548,0.010984116252142653,142
-0.0047819275185967125,-0.063304342930794,0.030817548400434575,0.03559947591903129,0.09412189133122857,143
0.0022738862175505706,-0.0659504405500703,-0.02223134779599967,-0.02450523401355024,0.043719092754070626,144
0.057992738289695395,0.16563358148346646,0.07890911754016702,0.02091637925047163,-0.08672446394329944,145
-0.04931554712062624,0.06902743279001405,0.03698241912708825,0.08629796624771449,-0.03204501366292581,146
0.1534634824028433,0.011407908905457814,0.12090334763548899,-0.03256013476735432,0.10949543873003117,147
0.004905311338669793,-0.06873111848458334,-0.025559199440258078,-0.03046451077892787,0.04317191904432526,148
-0.0558384269186607,-0.04930919851698959,0.00421043862839492,0.060048865547055616,0.05351963714538451,149
-0.08584069009575068,0.0162607095710076,-0.07700159977412287,0.00883909032162781,-0.09326230934513047,150
0.048101948930396356,0.03005073318089886,-0.012925078894509478,-0.061027027824905836,-0.04297581207540834,151
