city,state_group,response,HIGH_largest_frac__wind10,HIGH_largest_frac__wind100,HIGH_pca_anisotropy__wind10,HIGH_pca_anisotropy__wind100,city_entropy__wind10,city_entropy__wind100,cluster__wind10,cluster__wind100,corridor_persistence_index__wind10,corridor_persistence_index__wind100,critical_band_occupancy__wind10,critical_band_occupancy__wind100,p_c_S__wind10,p_c_S__wind100,vd_occ,vd_persistence,vd_largest_frac,vd_pc,vd_anis,cluster,city_entropy,used_hours_frac,used_months,event_hours_total,valid_points,n_months_with_state,n_hours,blh_mean,gust_mean,shear_mean,wind10_mean,wind100_mean,vd_quadrant,state_class,abs_occ,abs_per,xb,yb,n,joint_hotspot_ratio,is_hotspot_cell
Brazil_SaoPaulo,day,ar1,0.5714285714285307,0.8333333333331945,9.51491356744757,2.9999999999919997,0.7552905660127233,0.7552905660127233,3.0,3.0,1.0,0.8869263770394661,0.1632653061224489,0.1224489795918367,,,-0.0408163265306122,-0.1130736229605339,0.2619047619046638,,-6.5149135674555705,3.0,0.7552905660127233,,,,,132.0,40180.0,623.1976031806449,6.259385559142331,1.1251156270496063,2.439120975972309,3.5642366030219157,,,0.0408163265306122,0.1130736229605339,"(584.868, 727.434]","(0.294, 1.215]",15.0,0.06666666666666667,False
Brazil_SaoPaulo,event_gust_core,ar1,0.538461538461497,0.39999999999992,4.3972138085546355,500000000001.0,0.7552905660127233,0.7552905660127233,3.0,3.0,0.5,0.4143193987917837,0.0,0.0,,,0.0,-0.0856806012082163,-0.138461538461577,,499999999996.6028,3.0,0.7552905660127233,,,,,132.0,1830.0,958.980301912442,9.888460058268738,1.613404408458607,3.961122025326148,5.574526433784754,,,0.0,0.0856806012082163,"(878.688, 1319.167]","(1.215, 1.857]",,,False
Brazil_SaoPaulo,event_gust_lag,ar1,0.3333333333332222,0.7499999999998125,4.009874921976659,2.999999999988,0.7552905660127233,0.7552905660127233,3.0,3.0,0.3333333333333333,0.3243415460203148,0.0,0.0204081632653061,,,0.0204081632653061,-0.0089917873130185,0.4166666666665903,,-1.0098749219886596,3.0,0.7552905660127233,,,,,132.0,10931.0,769.5476095600894,7.829976686438648,1.7039309779995602,3.380295631860047,5.084226609859608,,,0.0204081632653061,0.0089917873130185,"(727.434, 878.688]","(1.215, 1.857]",6.0,0.0,False
Brazil_SaoPaulo,event_gust_leadlag,ar1,0.5652173913043232,0.5555555555554939,3.965370662202306,2.999999999991999,0.7552905660127233,0.7552905660127233,3.0,3.0,0.5,0.8536833898083542,0.0,0.0,,,0.0,0.3536833898083542,-0.0096618357488293,,-0.9653706622103072,3.0,0.7552905660127233,,,,,132.0,22112.0,718.4491595605039,7.936535469221397,1.6307352043535113,3.315520305910339,4.94625551026385,,,0.0,0.3536833898083542,"(584.868, 727.434]","(1.215, 1.857]",,,False
Brazil_SaoPaulo,event_shear_core,ar1,0.39999999999992,0.8636363636363245,500000000001.0,3.3029727314652924,0.7552905660127233,0.7552905660127233,3.0,3.0,0.4219456912956734,1.0,0.0,0.0612244897959183,,,0.0612244897959183,0.5780543087043266,0.4636363636364045,,-499999999997.697,3.0,0.7552905660127233,,,,,132.0,1844.0,384.3879040797155,6.876655824227679,2.6521957635079545,3.271175978267381,5.923371741775336,,,0.0612244897959183,0.5780543087043266,"(104.98899999999999, 469.385]","(2.24, 2.883]",6.0,0.0,False
Brazil_SaoPaulo,event_shear_lag,ar1,0.49999999999975,0.499999999999875,4999722459651.428,500000000001.0,0.7552905660127233,0.7552905660127233,3.0,3.0,1.0,0.5384359796406872,0.0,0.0408163265306122,,,0.0408163265306122,-0.4615640203593127,1.2501111257279265e-13,,-4499722459650.428,3.0,0.7552905660127233,,,,,132.0,10899.0,474.79441576958374,7.073984669964489,2.0703036368971452,3.126861356577954,5.1971649934750985,,,0.0408163265306122,0.4615640203593127,"(469.385, 584.868]","(1.857, 2.24]",,,False
Brazil_SaoPaulo,event_shear_lead,ar1,0.3333333333332222,0.59999999999988,5000000000001.0,1000000000001.0,0.7552905660127233,0.7552905660127233,3.0,3.0,0.3698990976313004,0.5,0.0612244897959183,0.0612244897959183,,,0.0,0.1301009023686996,0.2666666666666578,,-4000000000000.0,3.0,0.7552905660127233,,,,,132.0,10927.0,464.5797861864112,6.867753744707734,2.2430109962961375,3.166085126444911,5.4090961227410475,,,0.0,0.1301009023686996,"(104.98899999999999, 469.385]","(2.24, 2.883]",6.0,0.0,False
Brazil_SaoPaulo,event_shear_leadlag,ar1,0.49999999999975,0.9374999999999416,12497918678439.496,9.556808004089104,0.7552905660127233,0.7552905660127233,3.0,3.0,0.4735550463882773,1.0,0.0204081632653061,0.2448979591836734,,,0.2244897959183673,0.5264449536117227,0.4375000000001916,,-12497918678429.94,3.0,0.7552905660127233,,,,,132.0,21143.0,457.9831641433809,6.852131977152772,2.1445263262647245,3.1048189755055833,5.249345301770307,,,0.2244897959183673,0.5264449536117227,"(104.98899999999999, 469.385]","(1.857, 2.24]",6.0,0.16666666666666666,True
Brazil_SaoPaulo,gust_high,ar1,0.9354838709677118,0.6666666666665555,1.9719792276311217,5.999999999969998,0.7552905660127233,0.7552905660127233,3.0,3.0,1.0,1.0,0.2448979591836734,0.0408163265306122,,,-0.2040816326530612,0.0,-0.2688172043011563,,4.028020772338877,3.0,0.7552905660127233,,,,,132.0,28918.0,785.5192539479115,8.04581456453772,1.5243160657126804,3.324097077360831,4.848413143073511,,,0.2040816326530612,0.0,"(727.434, 878.688]","(1.215, 1.857]",6.0,0.0,False
Brazil_SaoPaulo,gust_shear_compound,ar1,0.89999999999997,0.7142857142856123,2.989026498511943,2500000000001.0,0.7552905660127233,0.7552905660127233,3.0,3.0,0.4166843962417693,1.0,0.0612244897959183,0.0816326530612244,,,0.0204081632653061,0.5833156037582308,-0.1857142857143577,,2499999999998.0107,3.0,0.7552905660127233,,,,,130.0,2160.0,749.9772958160581,10.041191337704834,2.739197183736881,4.494692840483439,7.23389002422032,,,0.0204081632653061,0.5833156037582308,"(727.434, 878.688]","(2.24, 2.883]",8.0,0.125,True
