model,auc_mean,delta_auc_vs_best_single
BLH × shear × gust (poly2),0.8091710758377426,0.06543209876543221
BLH × shear (poly2),0.7931216931216932,0.049382716049382824
BLH + shear + gust,0.7768959435626102,0.033156966490299755
BLH + shear,0.7664902998236331,0.022751322751322745
BLH only,0.7437389770723104,0.0
BLH + gust,0.7358024691358025,-0.007936507936507908
Gust only,0.707231040564374,-0.03650793650793638
Shear + gust,0.6790123456790124,-0.06472663139329804
Shear only,0.6447971781305115,-0.09894179894179889
