metric,hotspot_mean,nonhotspot_mean,hotspot_minus_nonhotspot,hotspot_median,nonhotspot_median,n_hotspot,n_nonhotspot
mixing_deficit_z,0.7269366915450441,-0.17231091947734048,0.8992476110223846,0.5440018299217608,-0.26865912371302236,32,135
shear_to_mixing_log_z,0.31408715850638647,-0.07445028942373592,0.3885374479301224,-0.12085167405718611,-0.2938859837840249,32,135
smii_z,1.0410238500514306,-0.24676120890107636,1.287785058952507,0.15630707298605703,-0.6697541675959976,32,135
smii_simple_z,0.31447765270376105,-0.07454285101125833,0.3890205037150194,0.10911883180935597,-0.1666530901261028,32,135
smii_linear_z,0.27983700966600644,-0.06633173562453479,0.3461687452905412,0.2291101340605076,-0.2947930894200659,32,135
shear_z,-0.41245903884128304,0.09776806846608212,-0.5102271073073652,-0.4087801781738109,0.10085069245959724,32,135
wind_intensity_z,-0.524361331051426,0.12429305624922743,-0.6486543873006534,-0.8225526841199415,0.0012160094529471792,32,135
decoupling_response_abs,0.2030129157368588,0.14948786039367284,0.05352505534318597,0.1546926733375492,0.13185927847057424,32,135
joint_hotspot_ratio,0.15625,0.01010101010101009,0.14614898989898992,0.14583333333333331,0.0,32,99
