gate,n,hotspot_rate,relative_to_background,mean_mixing_deficit_z,mean_shear_to_mixing_log_z,mean_wind_intensity_z
background_all_cells,167,0.19161676646706588,1.0,2.6911274273548706e-15,1.1700554031977699e-16,4.254746920719163e-16
SMII_upper_state,31,0.5161290322580645,2.693548387096774,1.5609088339128845,1.375215400337761,-0.9053793072236239
mixing_deficit_top20_only,34,0.47058823529411764,2.455882352941176,1.5025198125826902,1.2006719971025213,-0.9281800700679519
shear_to_mixing_top20_only,34,0.23529411764705882,1.227941176470588,1.1742376800820313,1.450162496665441,-0.37506602429972424
wind_intensity_top20_only,34,0.14705882352941177,0.7674632352941176,-0.8841893573781441,-0.05236140418519069,1.5493151183985803
simple_SMII_top20_only,34,0.17647058823529413,0.9209558823529412,0.9107110108223196,1.4172074649713604,0.057745418790790926
