k,mismatch_capture,intensity_capture
1,0.2653061224489796,0.0
2,0.5306122448979592,0.0
3,0.7959183673469388,0.2653061224489796
4,1.0000000000000002,0.2653061224489796
5,1.0000000000000002,0.2653061224489796
6,1.0000000000000002,0.2653061224489796
7,1.0000000000000002,0.2653061224489796
8,1.0000000000000002,0.2653061224489796
9,1.0000000000000002,0.2653061224489796
10,1.0000000000000002,0.2653061224489796
11,1.0000000000000002,0.2653061224489796
12,1.0000000000000002,0.2653061224489796
13,1.0000000000000002,0.2653061224489796
14,1.0000000000000002,0.5306122448979592
15,1.0000000000000002,0.5306122448979592
16,1.0000000000000002,0.7346938775510204
17,1.0000000000000002,0.7346938775510204
18,1.0000000000000002,0.7346938775510204
19,1.0000000000000002,0.7346938775510204
20,1.0000000000000002,0.7346938775510204
21,1.0000000000000002,1.0
22,1.0000000000000002,1.0
23,1.0000000000000002,1.0
24,1.0000000000000002,1.0
25,1.0000000000000002,1.0
