variable,hotspot_mean,nonhotspot_mean,delta_mean,signed_effect_size
blh_mean,490.25542989820605,704.814326971588,-214.55889707338196,-0.9041589828119565
shear_mean,1.7138861945579391,2.189478463768232,-0.47559226921029296,-0.5177084423075945
gust_mean,7.290541462847267,9.094296239751047,-1.80375477690378,-0.6659550098526734
wind10_mean,4.000101302431787,5.055387143856052,-1.055285841424265,-0.6428084385749184
wind100_mean,5.713987496989726,7.244865607624285,-1.5308781106345588,-0.6475900365553177
vd_occ,-0.043574208348800686,-0.03234777589740445,-0.011226432451396234,-0.06525692157631517
vd_persistence,-0.038168805167417594,-0.024325018666252383,-0.01384378650116521,-0.04862770484774962
