shear_bin,0,1,2,3,4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0012863547705725795,0.0031774062281664573,0.0031004448316364745
2,0.0024036693309096606,0.004202641974798023,0.014906362325354566,0.03187850989124098,0.027965651133989536
3,0.020233151147732636,0.02470099581241,0.05851830463990837,0.10789071586402126,0.10598526686626024
4,0.05593746703290519,0.054504767810869714,0.10525912038359236,0.16392463332737364,0.21412453662825842
